resume_index,management,development,testing
0,0.35833327162667294,0.26731984661507885,0.3743468817582482
1,0.013468399744215445,0.013779201115214855,0.9727523991405698
2,0.0371200919417754,0.03656964832701538,0.9263102597312093
3,0.060808937806032165,0.015161718227732898,0.9240293439662349
4,0.016549061961029156,0.12154799789603962,0.8619029401429312
5,0.017687810897806407,0.5351161497538686,0.4471960393483251
6,0.0465758510037788,0.9155355969839007,0.03788855201232035
7,0.013603840076581426,0.014169963390899359,0.9722261965325193
8,0.03136925175631104,0.9363805889369692,0.032250159306719664
9,0.09785780079195222,0.00682140801960251,0.8953207911884453
10,0.809858205813174,0.03231931355737039,0.15782248062945572
11,0.9499995668511519,0.02489042380107614,0.025110009347771866
12,0.9251528018739318,0.037184321803215424,0.03766287632285288
13,0.04380837547674916,0.9057778615963452,0.050413762926905664
14,0.09345488555757997,0.8383849240934786,0.06816019034894127
15,0.2545124376996303,0.7181473235183163,0.027340238782053442
16,0.010344271735215597,0.24076001518835544,0.748895713076429
17,0.0414727612429872,0.30804958738389826,0.6504776513731144
18,0.7003953906584098,0.02188004657723123,0.2777245627643589
19,0.029879055887690867,0.9400901133108654,0.030030830801443642
20,0.053220012287585154,0.16147236208797516,0.7853076256244396
21,0.02237740242427508,0.5023018249806814,0.4753207725950434
22,0.09418681907951862,0.014992763127133575,0.8908204177933479
23,0.1251090214977497,0.23887928228097655,0.6360116962212737
24,0.009071645553197238,0.008773869196333698,0.982154485250469
25,0.015760274032341107,0.965050669648821,0.019189056318837938
26,0.9103317546027181,0.04553559608109296,0.04413264931618896
27,0.9106879472499797,0.04413362030953387,0.04517843244048655
28,0.2578847331527234,0.027168057373649954,0.7149472094736267
29,0.9527515086426072,0.022511499806292863,0.02473699155109989
30,0.36761979134273676,0.015195598717790587,0.6171846099394726
31,0.11754510041270362,0.028447073538220565,0.8540078260490759
32,0.16793257514366255,0.02714448836954271,0.8049229364867947
33,0.01849828229423807,0.9637270370680899,0.017774680637671885
34,0.05309736689996445,0.24326791875874787,0.7036347143412877
35,0.015930205106750764,0.9684304745812882,0.015639320311960983
36,0.011430243838542586,0.013484627535011506,0.9750851286264459
37,0.014072289286754318,0.9716540874605355,0.014273623252710211
38,0.01242665321877079,0.013080708052325625,0.9744926387289036
39,0.01236721798188054,0.01222860335338258,0.9754041786647368
40,0.013810735457842506,0.9692560917728493,0.016933172769308058
41,0.18982482118776176,0.8008647948732944,0.00931038393894393
42,0.03307258861971062,0.003559038606366594,0.9633683727739227
43,0.3106462166044419,0.007748962840051428,0.6816048205555066
44,0.022051265954785113,0.797579850079257,0.18036888396595785
45,0.27806937197794707,0.3333787984830562,0.38855182953899664
46,0.037815222933941794,0.29556631210670425,0.6666184649593538
47,0.9292498601265865,0.038772310687604186,0.03197782918580929
48,0.0697708904169105,0.22489722563743117,0.7053318839456584
49,0.008755502054008251,0.00942031480993629,0.9818241831360555
50,0.0728298013597474,0.01526004868516237,0.9119101499550902
51,0.02165585823911123,0.17586743806225313,0.8024767036986357
52,0.012298144646784828,0.012641940379124745,0.9750599149740904
53,0.25845747211273956,0.01422843584985919,0.7273140920374013
54,0.011344600268293687,0.011566462667458059,0.9770889370642483
55,0.014230683950805309,0.01345862871438287,0.9723106873348117
56,0.02154001144695696,0.020637620672230652,0.9578223678808124
57,0.31622366345423214,0.3567371819803583,0.3270391545654095
58,0.028095957996619146,0.028245019391917748,0.9436590226114631
59,0.01982024401125204,0.15359435025191465,0.8265854057368334
